date,D,DAL,KEY,LNC,LNT,PEP,PG,SPY,XEL
2018-04-04,0,0,2,0,0,32,100,0,0
2018-04-05,0,0,0,0,0,0,0,0,0
2018-04-06,0,0,0,0,0,0,0,0,0
2018-04-09,0,0,0,0,0,0,0,0,0
2018-04-10,0,0,0,0,0,0,0,0,0
2018-04-11,0,0,0,0,0,0,0,0,0
2018-04-12,0,0,0,0,0,0,0,0,0
2018-04-13,0,0,0,0,0,0,0,0,0
2018-04-16,0,0,0,0,0,0,0,0,0
2018-04-17,0,0,0,0,0,0,0,0,0
2018-04-18,0,0,0,0,0,0,0,0,0
2018-04-19,0,0,0,0,0,0,0,0,0
2018-04-20,0,0,0,0,0,0,0,0,0
2018-04-23,0,0,0,0,0,0,0,0,0
2018-04-24,0,0,0,0,0,0,0,0,0
2018-04-25,0,0,0,0,0,0,0,0,0
2018-04-26,0,0,0,0,0,0,0,0,0
2018-04-27,0,0,0,0,0,0,0,0,0
2018-04-30,0,0,0,0,0,0,0,0,0
2018-05-01,0,0,0,0,0,0,0,0,0
2018-05-02,0,0,0,0,0,0,0,0,0
2018-05-03,0,0,0,0,0,0,0,0,0
2018-05-04,0,0,0,0,0,0,0,0,0
2018-05-07,0,0,0,0,0,0,0,0,0
2018-05-08,0,0,0,0,0,0,0,0,0
2018-05-09,0,0,0,0,0,0,0,0,0
2018-05-10,0,0,0,0,0,0,0,0,0
2018-05-11,0,0,0,0,0,0,0,0,0
2018-05-14,0,0,0,0,0,0,0,0,0
2018-05-15,0,0,0,0,0,0,0,0,0
2018-05-16,0,0,0,0,0,0,0,0,0
2018-05-17,0,0,0,0,0,0,0,0,0
2018-05-18,0,0,0,0,0,0,0,0,0
2018-05-21,0,0,0,0,0,0,0,0,0
2018-05-22,0,0,0,0,0,0,0,0,0
2018-05-23,0,0,0,0,0,0,0,0,0
2018-05-24,0,0,0,0,0,0,0,0,0
2018-05-25,0,0,0,0,0,0,0,0,0
2018-05-29,0,0,0,0,0,0,0,0,0
2018-05-30,0,0,0,0,0,0,0,0,0
2018-05-31,0,0,0,0,0,0,0,0,0
2018-06-01,0,0,0,0,0,0,0,0,0
2018-06-04,0,0,0,0,0,0,0,0,0
2018-06-05,0,0,0,0,0,0,0,0,0
2018-06-06,0,0,0,0,0,0,0,0,0
2018-06-07,0,0,0,0,0,0,0,0,0
2018-06-08,0,0,0,0,0,0,0,0,0
2018-06-11,0,0,0,0,0,0,0,0,0
2018-06-12,0,0,0,0,0,0,0,0,0
2018-06-13,0,0,0,0,0,0,0,0,0
2018-06-14,0,0,0,0,0,0,0,0,0
2018-06-15,0,0,0,0,0,0,0,0,0
2018-06-18,0,0,0,0,0,0,0,0,0
2018-06-19,0,0,0,0,0,0,0,0,0
2018-06-20,0,0,0,0,0,0,0,0,0
2018-06-21,0,0,0,0,0,0,0,0,0
2018-06-22,0,0,0,0,0,0,0,0,0
2018-06-25,0,0,0,0,0,0,0,0,0
2018-06-26,0,0,0,0,0,0,0,0,0
2018-06-27,0,0,0,0,0,0,0,0,0
2018-06-28,0,0,0,0,0,0,0,0,0
2018-06-29,0,0,0,0,0,0,0,0,0
